Download Time	Original URL	Local Path	Community ID	Community Name	Builder ID	Market ID	Market Name	State	City	Address	Price	Details	Builder
2025-01-13 22:44:50	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339765-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339765.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:44:53	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339768-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339768.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:44:55	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339801-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339801.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:44:57	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339753-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339753.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:00	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339807-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339807.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:01	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339750-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339750.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:03	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/60972618-220908.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\60972618.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:05	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339792-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339792.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:06	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339756-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339756.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:08	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339762-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339762.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:10	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339804-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339804.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:11	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339777-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339777.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:13	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339789-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339789.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:15	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339747-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339747.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
2025-01-13 22:45:19	https://nhs-dynamic-secure.akamaized.net/Images/Homes/Trato8780/76339730-240229.jpg?maxwidth=1920&maxheight=1920&encoder=freeimage&progressive=true	2573149\76339730.jpg	187614	Avenbrook	8781	84	Atlanta	GA	Mableton	Fulmont| Mableton, GA	From $509,500	4 Br | 3 Ba | 2 Gr | 2,783 sq ftHot Deal	Traton Homes
