,title,price,address,details,builder,link,promo_title1,promo_content1,promo_title2,,promo_content2
1,"Ashford | Wake Forest, NC | Wake Forest, NC","From $487,999","Ashford | Wake Forest, NC","4 Br | 2.5 Ba | 2 Gr | 2,700 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/ashford-taylor-morrison-wake-forest-nc/2523216,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
2,"964 Myers Point Drive. Morrisville, NC 27560 ","From $799,990","964 Myers Point Drive. Morrisville, NC 27560","4 Br | 3.5 Ba | 2 Gr | 3,382 sq ft",Baker Residential,https://www.newhomesource.com/specdetail/964-myers-point-drive-morrisville-nc-27560/2833981,,,,,
3,"2425 Englemann Drive. Apex, NC 27502 ","From $641,320","2425 Englemann Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,339 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2425-englemann-drive-apex-nc-27502/2883536,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
4,"2464 Field Poppy Drive. Apex, NC 27502 ","From $679,010","2464 Field Poppy Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,339 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2464-field-poppy-drive-apex-nc-27502/2821315,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
5,"2391 Englemann Drive. Apex, NC 27502 ","From $692,940","2391 Englemann Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,638 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2391-englemann-drive-apex-nc-27502/2850904,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
6,"2413 Englemann Drive. Apex, NC 27502 ","From $693,600","2413 Englemann Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,638 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2413-englemann-drive-apex-nc-27502/2863459,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
7,"2476 Field Poppy Drive. Apex, NC 27502 ","From $704,040","2476 Field Poppy Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,638 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2476-field-poppy-drive-apex-nc-27502/2848930,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
8,"2309 Field Poppy Drive. Apex, NC 27502 ",Contact Builder for Details,"2309 Field Poppy Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,638 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2309-field-poppy-drive-apex-nc-27502/2691962,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
9,"2430 Field Poppy Drive. Apex, NC 27502 ","From $719,000","2430 Field Poppy Drive. Apex, NC 27502","4 Br | 3 Ba | 2 Gr | 2,561 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2430-field-poppy-drive-apex-nc-27502/2797793,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
10,"2317 Field Poppy Drive. Apex, NC 27502 ",Contact Builder for Details,"2317 Field Poppy Drive. Apex, NC 27502","4 Br | 4 Ba | 2 Gr | 2,561 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2317-field-poppy-drive-apex-nc-27502/2691960,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
